ANNO;CODICE_ATENEO;NOME_ATENEO;REGIONE;AREA_GEO;Cod_qualifica;Desc_qualifica;GENERE;Età_MEDIA
2020;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;41,3
2020;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;35,4
2020;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;39,3
2020;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;55,0
2020;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;32,3
2020;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;34,2
2020;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;57,3
2020;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;58,0
2020;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);M;51,1
2020;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);F;51,1
2020;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;40,3
2020;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;40,0
2020;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;37,7
2020;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;37,9
2020;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;F;50,4
2020;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;52,3
2020;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;34,1
2020;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;33,2
2020;01510;Rozzano (MI) Humanitas University;Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;55,0
2020;01510;Rozzano (MI) Humanitas University;Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;59,5
2020;01510;Rozzano (MI) Humanitas University;Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);F;51,6
2020;01510;Rozzano (MI) Humanitas University;Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);M;46,8
2020;01510;Rozzano (MI) Humanitas University;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;40,0
2020;01510;Rozzano (MI) Humanitas University;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;39,7
2020;01510;Rozzano (MI) Humanitas University;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;52,5
2020;01510;Rozzano (MI) Humanitas University;Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;F;43,0
